,index,Rs income in constant $,Rs job is secure,Respondents income,Number of hours usually work a week,General happiness,income
29711,29711,97684,,$25000 or more,,Pretty happy,97684.0
29714,29714,14325,,$15000 - 19999,,Not too happy,14325.0
29715,29715,24830,,$25000 or more,,Pretty happy,24830.0
29716,29716,34380,,$25000 or more,,Not too happy,34380.0
29719,29719,51570,,$25000 or more,,Very happy,51570.0
29721,29721,10505,,$10000 - 14999,,Very happy,10505.0
29722,29722,28650,,$25000 or more,,Pretty happy,28650.0
29725,29725,10505,,$10000 - 14999,,Pretty happy,10505.0
29727,29727,1528,,$1000 to 2999,,Not too happy,1528.0
29728,29728,1528,,$1000 to 2999,,Pretty happy,1528.0
29731,29731,14325,,$15000 - 19999,,Pretty happy,14325.0
29733,29733,8595,,$10000 - 14999,,Pretty happy,8595.0
29734,29734,4202,,$5000 to 5999,,Pretty happy,4202.0
29736,29736,10505,,$10000 - 14999,,Pretty happy,10505.0
29737,29737,21010,,$25000 or more,,Pretty happy,21010.0
29739,29739,21010,,$25000 or more,,Pretty happy,21010.0
29742,29742,12415,,$15000 - 19999,,Pretty happy,12415.0
29743,29743,42020,,$25000 or more,,Very happy,42020.0
29744,29744,24830,,$25000 or more,,Pretty happy,24830.0
29746,29746,28650,,$25000 or more,,Pretty happy,28650.0
29747,29747,34380,,$25000 or more,,Pretty happy,34380.0
29749,29749,17954,,$20000 - 24999,,Pretty happy,17954.0
29750,29750,42020,,$25000 or more,,Not too happy,42020.0
29751,29751,2674,,$3000 to 3999,,Pretty happy,2674.0
29752,29752,21010,,$25000 or more,,Not too happy,21010.0
29753,29753,21010,,$25000 or more,,Pretty happy,21010.0
29754,29754,12415,,$15000 - 19999,,Pretty happy,12415.0
29755,29755,24830,,$25000 or more,,Pretty happy,24830.0
29756,29756,51570,,$25000 or more,,Pretty happy,51570.0
29757,29757,21010,,$25000 or more,,Very happy,21010.0
29758,29758,8595,,$10000 - 14999,,Pretty happy,8595.0
29759,29759,21010,,$25000 or more,,Pretty happy,21010.0
29760,29760,21010,,$25000 or more,,Pretty happy,21010.0
29761,29761,16235,,$20000 - 24999,,Very happy,16235.0
29763,29763,17954,,$20000 - 24999,,Very happy,17954.0
29764,29764,34380,,$25000 or more,,Very happy,34380.0
29765,29765,12415,,$15000 - 19999,,Pretty happy,12415.0
29766,29766,8595,,$10000 - 14999,,Not too happy,8595.0
29767,29767,10505,,$10000 - 14999,,Pretty happy,10505.0
29768,29768,8595,,$10000 - 14999,,Very happy,8595.0
29769,29769,42020,,$25000 or more,,Very happy,42020.0
29771,29771,8595,,$10000 - 14999,,Pretty happy,8595.0
29773,29773,42020,,$25000 or more,,Pretty happy,42020.0
29774,29774,12415,,$15000 - 19999,,Very happy,12415.0
29775,29775,34380,,$25000 or more,,Pretty happy,34380.0
29776,29776,24830,,$25000 or more,,Very happy,24830.0
29777,29777,51570,,$25000 or more,,Very happy,51570.0
29778,29778,2674,,$3000 to 3999,,Very happy,2674.0
29779,29779,42020,,$25000 or more,,Not too happy,42020.0
29781,29781,24830,,$25000 or more,40,Very happy,24830.0
29784,29784,51570,,$25000 or more,,Pretty happy,51570.0
29785,29785,51570,,$25000 or more,,Pretty happy,51570.0
29786,29786,17954,,$20000 - 24999,,Not too happy,17954.0
29787,29787,34380,,$25000 or more,,Pretty happy,34380.0
29789,29789,12415,,$15000 - 19999,,Pretty happy,12415.0
29790,29790,382,,Lt $1000,,Pretty happy,382.0
29791,29791,34380,,$25000 or more,,Pretty happy,34380.0
29792,29792,14325,,$15000 - 19999,,Pretty happy,14325.0
29793,29793,14325,,$15000 - 19999,,Not too happy,14325.0
29794,29794,24830,,$25000 or more,,Pretty happy,24830.0
29796,29796,17954,,$20000 - 24999,,Pretty happy,17954.0
29798,29798,17954,,$20000 - 24999,,Pretty happy,17954.0
29800,29800,6876,,$8000 to 9999,,Very happy,6876.0
29801,29801,34380,,$25000 or more,,Pretty happy,34380.0
29802,29802,28650,,$25000 or more,,Pretty happy,28650.0
29804,29804,21010,,$25000 or more,,Pretty happy,21010.0
29805,29805,3438,,$4000 to 4999,,Pretty happy,3438.0
29807,29807,382,,Lt $1000,,Not too happy,382.0
29812,29812,5730,,$7000 to 7999,,Pretty happy,5730.0
29814,29814,21010,,$25000 or more,,Pretty happy,21010.0
29815,29815,2674,,$3000 to 3999,,Pretty happy,2674.0
29816,29816,382,,Lt $1000,,Not too happy,382.0
29821,29821,34380,,$25000 or more,,Pretty happy,34380.0
29822,29822,97684,,$25000 or more,,Pretty happy,97684.0
29823,29823,8595,,$10000 - 14999,,Not too happy,8595.0
29824,29824,12415,,$15000 - 19999,50,Pretty happy,12415.0
29827,29827,14325,,$15000 - 19999,,Not too happy,14325.0
29829,29829,4202,,$5000 to 5999,,Pretty happy,4202.0
29830,29830,2674,,$3000 to 3999,,Pretty happy,2674.0
29833,29833,24830,,$25000 or more,,Pretty happy,24830.0
29834,29834,2674,,$3000 to 3999,,Very happy,2674.0
29836,29836,5730,,$7000 to 7999,,Not too happy,5730.0
29837,29837,8595,,$10000 - 14999,,Not too happy,8595.0
29838,29838,8595,,$10000 - 14999,,Very happy,8595.0
29839,29839,8595,,$10000 - 14999,,Pretty happy,8595.0
29841,29841,24830,,$25000 or more,,Pretty happy,24830.0
29843,29843,14325,,$15000 - 19999,,Very happy,14325.0
29844,29844,21010,,$25000 or more,,Pretty happy,21010.0
29845,29845,34380,,$25000 or more,,Very happy,34380.0
29847,29847,21010,,$25000 or more,,Pretty happy,21010.0
29849,29849,34380,,$25000 or more,,Pretty happy,34380.0
29850,29850,12415,,$15000 - 19999,,Very happy,12415.0
29851,29851,2674,,$3000 to 3999,,Pretty happy,2674.0
29852,29852,4966,,$6000 to 6999,,Very happy,4966.0
29853,29853,382,,Lt $1000,,Pretty happy,382.0
29854,29854,24830,,$25000 or more,,Pretty happy,24830.0
29855,29855,17954,,$20000 - 24999,,Pretty happy,17954.0
29856,29856,17954,,$20000 - 24999,,Pretty happy,17954.0
29857,29857,28650,,$25000 or more,,Pretty happy,28650.0
29861,29861,34380,,$25000 or more,,Pretty happy,34380.0
29863,29863,28650,,$25000 or more,,Pretty happy,28650.0
29864,29864,2674,,$3000 to 3999,,Pretty happy,2674.0
29865,29865,51570,,$25000 or more,,Pretty happy,51570.0
29866,29866,24830,,$25000 or more,,Not too happy,24830.0
29867,29867,21010,,$25000 or more,,Very happy,21010.0
29869,29869,21010,,$25000 or more,,Pretty happy,21010.0
29870,29870,6876,,$8000 to 9999,,Very happy,6876.0
29871,29871,16235,,$20000 - 24999,,Pretty happy,16235.0
29872,29872,28650,,$25000 or more,,Very happy,28650.0
29873,29873,28650,,$25000 or more,,Pretty happy,28650.0
29874,29874,8595,,$10000 - 14999,,Very happy,8595.0
29875,29875,2674,,$3000 to 3999,,Pretty happy,2674.0
29876,29876,34380,,$25000 or more,,Not too happy,34380.0
29878,29878,14325,,$15000 - 19999,,Pretty happy,14325.0
29881,29881,6876,,$8000 to 9999,,Not too happy,6876.0
29883,29883,21010,,$25000 or more,,Very happy,21010.0
29884,29884,12415,,$15000 - 19999,,Pretty happy,12415.0
29886,29886,14325,,$15000 - 19999,,Very happy,14325.0
29888,29888,8595,,$10000 - 14999,,Pretty happy,8595.0
29889,29889,17954,,$20000 - 24999,,Pretty happy,17954.0
29890,29890,14325,,$15000 - 19999,,Not too happy,14325.0
29894,29894,8595,,$10000 - 14999,,Pretty happy,8595.0
29895,29895,21010,,$25000 or more,,Pretty happy,21010.0
29896,29896,21010,,$25000 or more,,Pretty happy,21010.0
29897,29897,2674,,$3000 to 3999,,Pretty happy,2674.0
29898,29898,382,,Lt $1000,,Pretty happy,382.0
29899,29899,28650,,$25000 or more,,Pretty happy,28650.0
29901,29901,34380,,$25000 or more,,Very happy,34380.0
29902,29902,51570,,$25000 or more,,Pretty happy,51570.0
29903,29903,16235,,$20000 - 24999,,Pretty happy,16235.0
29906,29906,21010,,$25000 or more,,Pretty happy,21010.0
29908,29908,17954,,$20000 - 24999,,Very happy,17954.0
29909,29909,24830,,$25000 or more,,Pretty happy,24830.0
29910,29910,34380,,$25000 or more,,Pretty happy,34380.0
29911,29911,24830,,$25000 or more,,Pretty happy,24830.0
29913,29913,51570,,$25000 or more,,Pretty happy,51570.0
29916,29916,24830,,$25000 or more,,Very happy,24830.0
29918,29918,24830,,$25000 or more,,Pretty happy,24830.0
29919,29919,21010,,$25000 or more,,Very happy,21010.0
29920,29920,21010,,$25000 or more,,Very happy,21010.0
29921,29921,42020,,$25000 or more,,Pretty happy,42020.0
29922,29922,97684,,$25000 or more,,Very happy,97684.0
29923,29923,97684,,$25000 or more,,Very happy,97684.0
29924,29924,42020,,$25000 or more,,Very happy,42020.0
29925,29925,34380,,$25000 or more,,Pretty happy,34380.0
29926,29926,21010,,$25000 or more,,Pretty happy,21010.0
29927,29927,6876,,$8000 to 9999,,Pretty happy,6876.0
29928,29928,382,,Lt $1000,,Very happy,382.0
29929,29929,34380,,$25000 or more,,Pretty happy,34380.0
29930,29930,97684,,$25000 or more,,Pretty happy,97684.0
29931,29931,4202,,$5000 to 5999,,Pretty happy,4202.0
29932,29932,24830,,$25000 or more,,Pretty happy,24830.0
29940,29940,10505,,$10000 - 14999,,Not too happy,10505.0
29941,29941,3438,,$4000 to 4999,,Not too happy,3438.0
29942,29942,6876,,$8000 to 9999,,Not too happy,6876.0
29945,29945,10505,,$10000 - 14999,,Pretty happy,10505.0
29948,29948,28650,,$25000 or more,,Not too happy,28650.0
29949,29949,10505,,$10000 - 14999,,Not too happy,10505.0
29950,29950,24830,,$25000 or more,,Very happy,24830.0
29951,29951,42020,,$25000 or more,,Pretty happy,42020.0
29952,29952,12415,,$15000 - 19999,,Very happy,12415.0
29953,29953,17954,,$20000 - 24999,,Very happy,17954.0
29954,29954,382,,Lt $1000,,Pretty happy,382.0
29956,29956,21010,,$25000 or more,,Very happy,21010.0
29958,29958,10505,,$10000 - 14999,,Pretty happy,10505.0
29959,29959,12415,,$15000 - 19999,55,Not too happy,12415.0
29960,29960,6876,,$8000 to 9999,,Pretty happy,6876.0
29962,29962,382,,Lt $1000,,Pretty happy,382.0
29963,29963,16235,,$20000 - 24999,,Pretty happy,16235.0
29964,29964,2674,,$3000 to 3999,,Very happy,2674.0
29965,29965,6876,,$8000 to 9999,,Pretty happy,6876.0
29967,29967,21010,,$25000 or more,40,Pretty happy,21010.0
29969,29969,34380,,$25000 or more,,Very happy,34380.0
29970,29970,24830,,$25000 or more,,Very happy,24830.0
29971,29971,34380,,$25000 or more,,Pretty happy,34380.0
29972,29972,14325,,$15000 - 19999,,Very happy,14325.0
29973,29973,6876,,$8000 to 9999,,Pretty happy,6876.0
29975,29975,3438,,$4000 to 4999,,Pretty happy,3438.0
29976,29976,2674,,$3000 to 3999,,Not too happy,2674.0
29977,29977,8595,,$10000 - 14999,,Pretty happy,8595.0
29978,29978,21010,,$25000 or more,,Very happy,21010.0
29979,29979,17954,,$20000 - 24999,,Pretty happy,17954.0
29980,29980,10505,,$10000 - 14999,,Pretty happy,10505.0
29981,29981,14325,,$15000 - 19999,,Pretty happy,14325.0
29982,29982,34380,,$25000 or more,,Pretty happy,34380.0
29983,29983,4966,,$6000 to 6999,,Not too happy,4966.0
29984,29984,5730,,$7000 to 7999,,Pretty happy,5730.0
29985,29985,8595,,$10000 - 14999,,Pretty happy,8595.0
29986,29986,1528,,$1000 to 2999,,Pretty happy,1528.0
29987,29987,382,,Lt $1000,,Not too happy,382.0
29988,29988,12415,,$15000 - 19999,,Not too happy,12415.0
29989,29989,12415,,$15000 - 19999,,Pretty happy,12415.0
29996,29996,28650,,$25000 or more,,Very happy,28650.0
29997,29997,6876,,$8000 to 9999,,Pretty happy,6876.0
29999,29999,12415,,$15000 - 19999,,Pretty happy,12415.0
30000,30000,8595,,$10000 - 14999,,Pretty happy,8595.0
30001,30001,12415,,$15000 - 19999,,Pretty happy,12415.0
30002,30002,24830,,$25000 or more,,Very happy,24830.0
30003,30003,24830,,$25000 or more,,Very happy,24830.0
30005,30005,17954,,$20000 - 24999,,Not too happy,17954.0
30006,30006,12415,,$15000 - 19999,,Very happy,12415.0
30007,30007,51570,,$25000 or more,,Pretty happy,51570.0
30008,30008,17954,,$20000 - 24999,,Very happy,17954.0
30009,30009,17954,,$20000 - 24999,,Pretty happy,17954.0
30010,30010,14325,,$15000 - 19999,,Pretty happy,14325.0
30011,30011,24830,,$25000 or more,,Pretty happy,24830.0
30012,30012,2674,,$3000 to 3999,,Pretty happy,2674.0
30013,30013,28650,,$25000 or more,,Pretty happy,28650.0
30014,30014,1528,,$1000 to 2999,,Pretty happy,1528.0
30015,30015,16235,,$20000 - 24999,,Not too happy,16235.0
30016,30016,10505,,$10000 - 14999,,,10505.0
30018,30018,42020,,$25000 or more,,Very happy,42020.0
30021,30021,10505,,$10000 - 14999,,Pretty happy,10505.0
30022,30022,12415,,$15000 - 19999,,Pretty happy,12415.0
30023,30023,10505,,$10000 - 14999,,Not too happy,10505.0
30024,30024,28650,,$25000 or more,,Pretty happy,28650.0
30025,30025,21010,,$25000 or more,,Pretty happy,21010.0
30026,30026,2674,,$3000 to 3999,,Pretty happy,2674.0
30028,30028,34380,,$25000 or more,,Not too happy,34380.0
30029,30029,24830,,$25000 or more,,Pretty happy,24830.0
30030,30030,24830,,$25000 or more,,Pretty happy,24830.0
30032,30032,6876,,$8000 to 9999,,Pretty happy,6876.0
30033,30033,24830,,$25000 or more,,Very happy,24830.0
30035,30035,34380,,$25000 or more,40,Pretty happy,34380.0
30036,30036,24830,,$25000 or more,,Pretty happy,24830.0
30037,30037,21010,,$25000 or more,,Pretty happy,21010.0
30038,30038,51570,,$25000 or more,,Pretty happy,51570.0
30040,30040,8595,,$10000 - 14999,,Pretty happy,8595.0
30041,30041,34380,,$25000 or more,,Pretty happy,34380.0
30042,30042,10505,,$10000 - 14999,,Pretty happy,10505.0
30043,30043,8595,,$10000 - 14999,,Pretty happy,8595.0
30044,30044,2674,,$3000 to 3999,,Pretty happy,2674.0
30045,30045,17954,,$20000 - 24999,,Pretty happy,17954.0
30046,30046,24830,,$25000 or more,,Pretty happy,24830.0
30047,30047,16235,,$20000 - 24999,,Pretty happy,16235.0
30048,30048,28650,,$25000 or more,,Pretty happy,28650.0
30049,30049,6876,,$8000 to 9999,,Not too happy,6876.0
30050,30050,17954,,$20000 - 24999,,Pretty happy,17954.0
30051,30051,1528,,$1000 to 2999,,Pretty happy,1528.0
30052,30052,24830,,$25000 or more,,Very happy,24830.0
30055,30055,34380,,$25000 or more,,Pretty happy,34380.0
30056,30056,28650,,$25000 or more,,Very happy,28650.0
30058,30058,34380,,$25000 or more,,Very happy,34380.0
30059,30059,16235,,$20000 - 24999,,Very happy,16235.0
30062,30062,21010,,$25000 or more,,Pretty happy,21010.0
30063,30063,97684,,$25000 or more,,Pretty happy,97684.0
30064,30064,42020,,$25000 or more,,Pretty happy,42020.0
30065,30065,28650,,$25000 or more,,Very happy,28650.0
30066,30066,34380,,$25000 or more,,Not too happy,34380.0
30067,30067,3438,,$4000 to 4999,,Pretty happy,3438.0
30069,30069,1528,,$1000 to 2999,,Pretty happy,1528.0
30070,30070,10505,,$10000 - 14999,,Pretty happy,10505.0
30071,30071,28650,,$25000 or more,,Pretty happy,28650.0
30073,30073,6876,,$8000 to 9999,,Not too happy,6876.0
30074,30074,24830,,$25000 or more,,Pretty happy,24830.0
30075,30075,16235,,$20000 - 24999,,Pretty happy,16235.0
30076,30076,51570,,$25000 or more,,Pretty happy,51570.0
30079,30079,10505,,$10000 - 14999,,Very happy,10505.0
30082,30082,34380,,$25000 or more,,Pretty happy,34380.0
30083,30083,21010,,$25000 or more,,Pretty happy,21010.0
30085,30085,6876,,$8000 to 9999,,Pretty happy,6876.0
30086,30086,17954,,$20000 - 24999,,Pretty happy,17954.0
30087,30087,24830,,$25000 or more,,Not too happy,24830.0
30088,30088,16235,,$20000 - 24999,,Pretty happy,16235.0
30090,30090,382,,Lt $1000,,Pretty happy,382.0
30092,30092,10505,,$10000 - 14999,,Pretty happy,10505.0
30093,30093,42020,,$25000 or more,,Pretty happy,42020.0
30094,30094,21010,,$25000 or more,,Very happy,21010.0
30095,30095,12415,,$15000 - 19999,,Pretty happy,12415.0
30096,30096,2674,,$3000 to 3999,,Very happy,2674.0
30099,30099,21010,,$25000 or more,,Very happy,21010.0
30102,30102,2674,,$3000 to 3999,,Very happy,2674.0
30103,30103,8595,,$10000 - 14999,,Not too happy,8595.0
30104,30104,12415,,$15000 - 19999,,Pretty happy,12415.0
30105,30105,12415,,$15000 - 19999,,Pretty happy,12415.0
30106,30106,17954,,$20000 - 24999,,Pretty happy,17954.0
30107,30107,97684,,$25000 or more,,Pretty happy,97684.0
30108,30108,97684,,$25000 or more,,Very happy,97684.0
30111,30111,97684,,$25000 or more,,Very happy,97684.0
30112,30112,97684,,$25000 or more,,Very happy,97684.0
30113,30113,97684,,$25000 or more,,Not too happy,97684.0
30124,30124,8595,,$10000 - 14999,,Pretty happy,8595.0
30125,30125,42020,,$25000 or more,,Pretty happy,42020.0
30127,30127,16235,,$20000 - 24999,,Pretty happy,16235.0
30131,30131,28650,,$25000 or more,,Pretty happy,28650.0
30132,30132,21010,,$25000 or more,,Pretty happy,21010.0
30134,30134,21010,,$25000 or more,,Very happy,21010.0
30137,30137,3438,,$4000 to 4999,,Pretty happy,3438.0
30138,30138,382,,Lt $1000,,Pretty happy,382.0
30140,30140,17954,,$20000 - 24999,,Pretty happy,17954.0
30141,30141,21010,,$25000 or more,,Very happy,21010.0
30142,30142,34380,,$25000 or more,,Pretty happy,34380.0
30143,30143,16235,,$20000 - 24999,,Pretty happy,16235.0
30145,30145,14325,,$15000 - 19999,,Pretty happy,14325.0
30147,30147,51570,,$25000 or more,,Pretty happy,51570.0
30148,30148,10505,,$10000 - 14999,,Pretty happy,10505.0
30149,30149,17954,,$20000 - 24999,,Very happy,17954.0
30151,30151,21010,,$25000 or more,,Pretty happy,21010.0
30154,30154,51570,,$25000 or more,,Very happy,51570.0
30156,30156,17954,,$20000 - 24999,,Very happy,17954.0
30157,30157,24830,,$25000 or more,,Pretty happy,24830.0
30158,30158,24830,,$25000 or more,,Pretty happy,24830.0
30159,30159,34380,,$25000 or more,,Not too happy,34380.0
30160,30160,28650,,$25000 or more,,Pretty happy,28650.0
30161,30161,97684,,$25000 or more,,Pretty happy,97684.0
30162,30162,97684,,$25000 or more,,Pretty happy,97684.0
30166,30166,16235,,$20000 - 24999,,Pretty happy,16235.0
30167,30167,24830,,$25000 or more,,Pretty happy,24830.0
30174,30174,382,,Lt $1000,,Very happy,382.0
30176,30176,97684,,$25000 or more,65,Pretty happy,97684.0
30177,30177,97684,,$25000 or more,,,97684.0
30178,30178,382,,Lt $1000,,Very happy,382.0
30179,30179,16235,,$20000 - 24999,,Pretty happy,16235.0
30181,30181,97684,,$25000 or more,,Very happy,97684.0
30182,30182,382,,Lt $1000,,Pretty happy,382.0
30183,30183,17954,,$20000 - 24999,,Very happy,17954.0
30184,30184,97684,,$25000 or more,,Pretty happy,97684.0
30185,30185,97684,,$25000 or more,,Pretty happy,97684.0
30188,30188,97684,,$25000 or more,,Very happy,97684.0
30191,30191,17954,,$20000 - 24999,,Pretty happy,17954.0
30193,30193,51570,,$25000 or more,,Pretty happy,51570.0
30195,30195,28650,,$25000 or more,,Not too happy,28650.0
30197,30197,17954,,$20000 - 24999,,Not too happy,17954.0
30198,30198,28650,,$25000 or more,,Pretty happy,28650.0
30199,30199,51570,,$25000 or more,,Pretty happy,51570.0
30200,30200,4966,,$6000 to 6999,,Very happy,4966.0
30202,30202,8595,,$10000 - 14999,,Pretty happy,8595.0
30203,30203,21010,,$25000 or more,,Pretty happy,21010.0
30204,30204,21010,,$25000 or more,,Pretty happy,21010.0
30205,30205,5730,,$7000 to 7999,,Not too happy,5730.0
30208,30208,10505,,$10000 - 14999,,Not too happy,10505.0
30210,30210,51570,,$25000 or more,,Very happy,51570.0
30212,30212,42020,,$25000 or more,,Pretty happy,42020.0
30213,30213,28650,,$25000 or more,,Pretty happy,28650.0
30214,30214,34380,,$25000 or more,,Very happy,34380.0
30215,30215,28650,,$25000 or more,,Very happy,28650.0
30217,30217,97684,,$25000 or more,,Pretty happy,97684.0
30220,30220,42020,,$25000 or more,,Pretty happy,42020.0
30221,30221,21010,,$25000 or more,,Very happy,21010.0
30223,30223,14325,,$15000 - 19999,40,Very happy,14325.0
30224,30224,14325,,$15000 - 19999,,Very happy,14325.0
30225,30225,4966,,$6000 to 6999,,Pretty happy,4966.0
30226,30226,24830,,$25000 or more,,Very happy,24830.0
30227,30227,382,,Lt $1000,,Pretty happy,382.0
30228,30228,5730,,$7000 to 7999,,Pretty happy,5730.0
30230,30230,10505,,$10000 - 14999,,Pretty happy,10505.0
30231,30231,10505,,$10000 - 14999,,Not too happy,10505.0
30232,30232,14325,,$15000 - 19999,,Very happy,14325.0
30233,30233,2674,,$3000 to 3999,,Pretty happy,2674.0
30235,30235,21010,,$25000 or more,,Pretty happy,21010.0
30239,30239,8595,,$10000 - 14999,,Pretty happy,8595.0
30240,30240,12415,,$15000 - 19999,,Very happy,12415.0
30241,30241,17954,,$20000 - 24999,,Very happy,17954.0
30242,30242,21010,,$25000 or more,,Pretty happy,21010.0
30244,30244,8595,,$10000 - 14999,,Not too happy,8595.0
30245,30245,4202,,$5000 to 5999,,Pretty happy,4202.0
30251,30251,12415,,$15000 - 19999,,Pretty happy,12415.0
30255,30255,28650,,$25000 or more,,Pretty happy,28650.0
30256,30256,2674,,$3000 to 3999,,Not too happy,2674.0
30257,30257,5730,,$7000 to 7999,,Pretty happy,5730.0
30258,30258,10505,,$10000 - 14999,,Very happy,10505.0
30259,30259,6876,,$8000 to 9999,,Pretty happy,6876.0
30260,30260,16235,,$20000 - 24999,,Not too happy,16235.0
30262,30262,12415,,$15000 - 19999,,Not too happy,12415.0
30263,30263,16235,,$20000 - 24999,,Pretty happy,16235.0
30267,30267,42020,,$25000 or more,,Pretty happy,42020.0
30268,30268,17954,,$20000 - 24999,,Very happy,17954.0
30269,30269,4202,,$5000 to 5999,,Pretty happy,4202.0
30270,30270,14325,,$15000 - 19999,,Very happy,14325.0
30271,30271,4202,,$5000 to 5999,,Not too happy,4202.0
30272,30272,382,,Lt $1000,,Not too happy,382.0
30273,30273,2674,,$3000 to 3999,,Pretty happy,2674.0
30274,30274,21010,,$25000 or more,,Pretty happy,21010.0
30275,30275,14325,,$15000 - 19999,,Not too happy,14325.0
30276,30276,17954,,$20000 - 24999,,Very happy,17954.0
30277,30277,34380,,$25000 or more,,Pretty happy,34380.0
30278,30278,16235,,$20000 - 24999,,Pretty happy,16235.0
30279,30279,1528,,$1000 to 2999,,Pretty happy,1528.0
30280,30280,21010,,$25000 or more,,Very happy,21010.0
30281,30281,17954,,$20000 - 24999,,Pretty happy,17954.0
30282,30282,8595,,$10000 - 14999,,Pretty happy,8595.0
30284,30284,14325,,$15000 - 19999,,Not too happy,14325.0
30285,30285,14325,,$15000 - 19999,,Pretty happy,14325.0
30286,30286,24830,,$25000 or more,,Pretty happy,24830.0
30288,30288,16235,,$20000 - 24999,,Very happy,16235.0
30289,30289,28650,,$25000 or more,,Pretty happy,28650.0
30290,30290,6876,,$8000 to 9999,,Pretty happy,6876.0
30291,30291,16235,,$20000 - 24999,,Pretty happy,16235.0
30293,30293,34380,,$25000 or more,,Pretty happy,34380.0
30294,30294,24830,,$25000 or more,,Pretty happy,24830.0
30296,30296,28650,,$25000 or more,,Pretty happy,28650.0
30297,30297,24830,,$25000 or more,,Very happy,24830.0
30298,30298,16235,,$20000 - 24999,,Pretty happy,16235.0
30300,30300,17954,,$20000 - 24999,,Pretty happy,17954.0
30301,30301,10505,,$10000 - 14999,,Not too happy,10505.0
30302,30302,382,,Lt $1000,,Pretty happy,382.0
30303,30303,16235,,$20000 - 24999,,Pretty happy,16235.0
30304,30304,6876,,$8000 to 9999,,Pretty happy,6876.0
30305,30305,3438,,$4000 to 4999,,Pretty happy,3438.0
30306,30306,8595,,$10000 - 14999,,Very happy,8595.0
30307,30307,10505,,$10000 - 14999,,Pretty happy,10505.0
30308,30308,12415,,$15000 - 19999,50,Not too happy,12415.0
30309,30309,51570,,$25000 or more,,Very happy,51570.0
30311,30311,34380,,$25000 or more,,Pretty happy,34380.0
30312,30312,28650,,$25000 or more,,Pretty happy,28650.0
30313,30313,1528,,$1000 to 2999,,Pretty happy,1528.0
30315,30315,34380,,$25000 or more,,Pretty happy,34380.0
30316,30316,34380,,$25000 or more,,Pretty happy,34380.0
30317,30317,34380,,$25000 or more,,Pretty happy,34380.0
30318,30318,2674,,$3000 to 3999,,Pretty happy,2674.0
30319,30319,1528,,$1000 to 2999,,Pretty happy,1528.0
30320,30320,1528,,$1000 to 2999,,Pretty happy,1528.0
30321,30321,6876,,$8000 to 9999,,Very happy,6876.0
30322,30322,14325,,$15000 - 19999,,Very happy,14325.0
30323,30323,3438,,$4000 to 4999,,Pretty happy,3438.0
30325,30325,6876,,$8000 to 9999,,Very happy,6876.0
30326,30326,28650,,$25000 or more,,Very happy,28650.0
30327,30327,16235,,$20000 - 24999,,Pretty happy,16235.0
30328,30328,1528,,$1000 to 2999,,Pretty happy,1528.0
30329,30329,34380,,$25000 or more,,Very happy,34380.0
30330,30330,6876,,$8000 to 9999,,Very happy,6876.0
30334,30334,21010,,$25000 or more,,Very happy,21010.0
30335,30335,28650,,$25000 or more,,Very happy,28650.0
30336,30336,24830,,$25000 or more,,Pretty happy,24830.0
30338,30338,17954,,$20000 - 24999,,Not too happy,17954.0
30339,30339,8595,,$10000 - 14999,,Not too happy,8595.0
30340,30340,4202,,$5000 to 5999,,Not too happy,4202.0
30342,30342,1528,,$1000 to 2999,,Pretty happy,1528.0
30343,30343,8595,,$10000 - 14999,,Pretty happy,8595.0
30344,30344,1528,,$1000 to 2999,,Pretty happy,1528.0
30346,30346,10505,,$10000 - 14999,,Pretty happy,10505.0
30348,30348,51570,,$25000 or more,,Pretty happy,51570.0
30349,30349,12415,,$15000 - 19999,,Pretty happy,12415.0
30350,30350,17954,,$20000 - 24999,,Pretty happy,17954.0
30352,30352,28650,,$25000 or more,,Pretty happy,28650.0
30354,30354,10505,,$10000 - 14999,,Very happy,10505.0
30356,30356,51570,,$25000 or more,,Pretty happy,51570.0
30357,30357,8595,,$10000 - 14999,,Pretty happy,8595.0
30359,30359,12415,,$15000 - 19999,,Not too happy,12415.0
30360,30360,6876,,$8000 to 9999,,Pretty happy,6876.0
30361,30361,8595,,$10000 - 14999,,Not too happy,8595.0
30363,30363,2674,,$3000 to 3999,,Pretty happy,2674.0
30365,30365,28650,,$25000 or more,,Pretty happy,28650.0
30370,30370,17954,,$20000 - 24999,,Pretty happy,17954.0
30371,30371,21010,,$25000 or more,,Very happy,21010.0
30373,30373,28650,,$25000 or more,,Pretty happy,28650.0
30374,30374,17954,,$20000 - 24999,,Pretty happy,17954.0
30375,30375,14325,,$15000 - 19999,,Not too happy,14325.0
30377,30377,382,,Lt $1000,,Pretty happy,382.0
30378,30378,17954,,$20000 - 24999,,Pretty happy,17954.0
30379,30379,42020,,$25000 or more,,Very happy,42020.0
30382,30382,12415,,$15000 - 19999,,Not too happy,12415.0
30385,30385,12415,,$15000 - 19999,,Not too happy,12415.0
30386,30386,21010,,$25000 or more,,Not too happy,21010.0
30392,30392,17954,,$20000 - 24999,,Pretty happy,17954.0
30393,30393,2674,,$3000 to 3999,,Pretty happy,2674.0
30394,30394,16235,,$20000 - 24999,,Pretty happy,16235.0
30396,30396,6876,,$8000 to 9999,,Very happy,6876.0
30397,30397,97684,,$25000 or more,,Very happy,97684.0
30398,30398,97684,,$25000 or more,,Very happy,97684.0
