,index,Rs income in constant $,Rs job is secure,Respondents income,Number of hours usually work a week,General happiness,income
63492,63492,63560,,$25000 or more,,Pretty happy,63560.0
63494,63494,20430,,$25000 or more,,Pretty happy,20430.0
63495,63495,24970,,$25000 or more,,Pretty happy,24970.0
63496,63496,45400,,$25000 or more,,Very happy,45400.0
63498,63498,24970,,$25000 or more,,Pretty happy,24970.0
63499,63499,17025,,$25000 or more,,Not too happy,17025.0
63500,63500,908,,$1000 to 2999,,Pretty happy,908.0
63501,63501,20430,,$25000 or more,,Very happy,20430.0
63503,63503,37455,,$25000 or more,,Pretty happy,37455.0
63505,63505,37455,,$25000 or more,,Very happy,37455.0
63506,63506,151050.7214,,Refused,,Not too happy,151050.7214
63508,63508,30645,,$25000 or more,,Pretty happy,30645.0
63509,63509,9647.5,,$20000 - 24999,,Very happy,9647.5
63510,63510,12485,,$25000 or more,,Pretty happy,12485.0
63513,63513,227,,Lt $1000,,Pretty happy,227.0
63517,63517,12485,,$25000 or more,,Very happy,12485.0
63519,63519,5107.5,,$10000 - 14999,,Pretty happy,5107.5
63522,63522,6242.5,,$10000 - 14999,,Very happy,6242.5
63523,63523,14755,,$25000 or more,,Pretty happy,14755.0
63525,63525,1589,,$3000 to 3999,,Very happy,1589.0
63526,63526,5107.5,,$10000 - 14999,,Pretty happy,5107.5
63527,63527,227,,Lt $1000,,Not too happy,227.0
63529,63529,14755,,$25000 or more,,Very happy,14755.0
63530,63530,9647.5,,$20000 - 24999,,Very happy,9647.5
63531,63531,30645,,$25000 or more,,Pretty happy,30645.0
63533,63533,30645,,$25000 or more,,Not too happy,30645.0
63534,63534,24970,,$25000 or more,,Pretty happy,24970.0
63535,63535,5107.5,,$10000 - 14999,,Not too happy,5107.5
63538,63538,227,,Lt $1000,,Pretty happy,227.0
63539,63539,227,,Lt $1000,,Pretty happy,227.0
63540,63540,12485,,$25000 or more,,Pretty happy,12485.0
63541,63541,24970,,$25000 or more,,Very happy,24970.0
63542,63542,8512.5,,$15000 - 19999,,Pretty happy,8512.5
63543,63543,24970,,$25000 or more,,Very happy,24970.0
63546,63546,14755,,$25000 or more,,Pretty happy,14755.0
63547,63547,14755,,$25000 or more,,Pretty happy,14755.0
63548,63548,12485,,$25000 or more,,Very happy,12485.0
63549,63549,12485,,$25000 or more,,Pretty happy,12485.0
63550,63550,6242.5,,$10000 - 14999,,Not too happy,6242.5
63551,63551,30645,,$25000 or more,,Pretty happy,30645.0
63554,63554,24970,,$25000 or more,,Pretty happy,24970.0
63555,63555,30645,,$25000 or more,,Very happy,30645.0
63556,63556,45400,,$25000 or more,,Very happy,45400.0
63557,63557,45400,,$25000 or more,,Pretty happy,45400.0
63560,63560,37455,,$25000 or more,,Very happy,37455.0
63561,63561,24970,,$25000 or more,,Not too happy,24970.0
63562,63562,20430,,$25000 or more,,Pretty happy,20430.0
63563,63563,14755,,$25000 or more,,Pretty happy,14755.0
63564,63564,20430,,$25000 or more,,Pretty happy,20430.0
63565,63565,12485,,$25000 or more,,Pretty happy,12485.0
63566,63566,2497,,$5000 to 5999,,Not too happy,2497.0
63567,63567,908,,$1000 to 2999,,Pretty happy,908.0
63570,63570,20430,,$25000 or more,,Pretty happy,20430.0
63571,63571,24970,,$25000 or more,,Pretty happy,24970.0
63572,63572,37455,,$25000 or more,,Pretty happy,37455.0
63573,63573,9647.5,,$20000 - 24999,,Pretty happy,9647.5
63576,63576,17025,,$25000 or more,,Pretty happy,17025.0
63577,63577,4086,,$8000 to 9999,,Pretty happy,4086.0
63579,63579,5107.5,,$10000 - 14999,,Pretty happy,5107.5
63580,63580,227,,Lt $1000,,Very happy,227.0
63582,63582,10782.5,,$20000 - 24999,40,Pretty happy,10782.5
63584,63584,12485,,$25000 or more,,Pretty happy,12485.0
63586,63586,2951,,$6000 to 6999,,Pretty happy,2951.0
63587,63587,2951,,$6000 to 6999,,Pretty happy,2951.0
63588,63588,14755,,$25000 or more,,Pretty happy,14755.0
63589,63589,10782.5,,$20000 - 24999,,Not too happy,10782.5
63590,63590,2043,,$4000 to 4999,,Pretty happy,2043.0
63591,63591,20430,,$25000 or more,,Very happy,20430.0
63592,63592,2043,,$4000 to 4999,,Pretty happy,2043.0
63593,63593,1589,,$3000 to 3999,,Not too happy,1589.0
63595,63595,30645,,$25000 or more,,Pretty happy,30645.0
63598,63598,908,,$1000 to 2999,,Not too happy,908.0
63599,63599,151050.7214,,Refused,,Pretty happy,151050.7214
63600,63600,20430,,$25000 or more,,Pretty happy,20430.0
63602,63602,24970,,$25000 or more,,Very happy,24970.0
63603,63603,14755,,$25000 or more,,Not too happy,14755.0
63605,63605,151050.7214,,Refused,,Very happy,151050.7214
63606,63606,908,,$1000 to 2999,,Pretty happy,908.0
63607,63607,17025,,$25000 or more,,Very happy,17025.0
63608,63608,9647.5,,$20000 - 24999,,Pretty happy,9647.5
63610,63610,30645,,$25000 or more,,Pretty happy,30645.0
63611,63611,9647.5,,$20000 - 24999,,Very happy,9647.5
63614,63614,7377.5,,$15000 - 19999,,Pretty happy,7377.5
63616,63616,37455,,$25000 or more,,Pretty happy,37455.0
63618,63618,227,,Lt $1000,,Very happy,227.0
63619,63619,10782.5,,$20000 - 24999,,Very happy,10782.5
63620,63620,45400,,$25000 or more,,Pretty happy,45400.0
63621,63621,24970,,$25000 or more,,Very happy,24970.0
63622,63622,8512.5,,$15000 - 19999,,Pretty happy,8512.5
63623,63623,24970,,$25000 or more,,Very happy,24970.0
63625,63625,24970,,$25000 or more,,Pretty happy,24970.0
63629,63629,151050.7214,,Refused,,Very happy,151050.7214
63630,63630,54480,,$25000 or more,,Very happy,54480.0
63635,63635,45400,,$25000 or more,,Very happy,45400.0
63636,63636,24970,,$25000 or more,,Very happy,24970.0
63637,63637,20430,,$25000 or more,,Not too happy,20430.0
63638,63638,227,,Lt $1000,,Not too happy,227.0
63639,63639,30645,,$25000 or more,,Pretty happy,30645.0
63640,63640,17025,,$25000 or more,,Pretty happy,17025.0
