,index,week_web,week_email,week_tv,weekend_internet,weekend_internet_minutes,weekday_internet,weekday_internet_minutes,Gss year for this respondent                       ,General happiness,internet_per_week,screen_time_per_week
61283,61283,12,2,2,5,0,2,0,2016.0,Pretty happy,20,36
61286,61286,4,1,5,3,0,2,0,2016.0,Pretty happy,16,52
61294,61294,27,0,3,3,0,3,0,2016.0,Pretty happy,21,42
61296,61296,10,1,2,1,0,1,0,2016.0,Pretty happy,7,22
61299,61299,10,0,4,3,0,2,0,2016.0,Very happy,16,44
61305,61305,2,1,2,2,0,2,0,2016.0,Pretty happy,14,29
61307,61307,4,1,4,3,0,1,0,2016.0,Pretty happy,11,40
61309,61309,25,10,4,10,0,1,0,2016.0,Very happy,25,63
61312,61312,10,0,3,10,0,10,0,2016.0,Very happy,70,91
61314,61314,1,2,4,0,15,0,30,2016.0,Pretty happy,0,30
61323,61323,8,15,5,6,0,4,0,2016.0,Pretty happy,32,82
61336,61336,25,25,1,4,0,2,0,2016.0,Pretty happy,18,50
61338,61338,20,2,4,4,0,24,0,2016.0,Very happy,128,158
61340,61340,10,1,5,3,0,3,0,2016.0,Pretty happy,21,57
61343,61343,3,30,2,0,25,0,10,2016.0,Pretty happy,0,44
61345,61345,1,2,6,1,0,2,0,2016.0,Pretty happy,12,56
61346,61346,15,1,3,1,0,1,0,2016.0,Pretty happy,7,29
61348,61348,30,20,3,0,30,2,0,2016.0,Not too happy,10,51
61359,61359,3,4,2,2,30,1,30,2016.0,Not too happy,9,27
61370,61370,10,1,4,10,0,4,0,2016.0,Pretty happy,40,69
61373,61373,25,6,2,1,30,5,0,2016.0,Very happy,27,47
61384,61384,24,3,3,1,30,1,30,2016.0,Pretty happy,7,31
61387,61387,6,0,8,1,0,2,0,2016.0,Pretty happy,12,68
61388,61388,3,1,7,2,0,1,0,2016.0,Pretty happy,9,59
61390,61390,25,15,3,1,0,3,0,2016.0,Pretty happy,17,53
61391,61391,12,10,12,7,0,5,0,2016.0,Pretty happy,39,133
61395,61395,10,4,6,4,0,12,0,2016.0,Not too happy,68,114
61400,61400,20,10,1,4,0,2,0,2016.0,Very happy,18,35
61403,61403,2,5,2,0,30,2,0,2016.0,Very happy,10,29
61404,61404,10,0,1,1,30,1,30,2016.0,Pretty happy,7,14
61406,61406,25,20,3,3,0,2,0,2016.0,Very happy,16,57
61412,61412,1,25,2,2,0,1,30,2016.0,Pretty happy,9,48
